subject,subject_alias,experiment,original_experiment,session,original_session,system_version
R1001P,R1001P,FR1,,0,0,1.0
R1001P,R1001P,FR1,,1,1,1.0
R1001P,R1001P,FR2,,0,0,1.0
R1001P,R1001P,FR2,,1,1,1.0
R1001P,R1001P,PAL1,,0,0,1.0
R1001P,R1001P,PAL1,,1,1,1.0
R1001P,R1001P,YC1,,0,0,1.0
R1001P,R1001P,YC1,,1,1,1.0
R1001P,R1001P,YC1,,2,2,1.0
R1002P,R1002P,FR1,,0,0,1.0
R1002P,R1002P,FR1,,1,1,1.0
R1002P,R1002P,FR2,,0,0,1.0
R1002P,R1002P,FR2,,1,1,1.0
R1002P,R1002P,FR2,,2,2,1.0
R1002P,R1002P,PAL1,,0,0,1.0
R1002P,R1002P,PAL1,,1,1,1.0
R1002P,R1002P,PAL1,,2,2,1.0
R1003P,R1003P,FR2,,0,0,1.0
R1003P,R1003P,PAL1,,0,0,1.0
R1003P,R1003P,PAL1,,1,1,1.0
R1003P,R1003P,PAL2,,0,0,1.0
R1003P,R1003P,PAL2,,1,1,1.0
R1004D,R1004D,catFR1,,0,0,1.0
R1006P,R1006P,FR1,,0,0,1.0
R1006P,R1006P,FR1,,1,1,1.0
R1006P,R1006P_1,FR2,,0,0,1.0
R1006P,R1006P_1,FR2,,1,1,1.0
R1006P,R1006P,YC1,,0,0,1.0
R1006P,R1006P,YC1,,1,1,1.0
R1006P,R1006P,YC1,,2,2,1.0
R1006P,R1006P,YC2,,0,0,1.0
R1006P,R1006P,YC2,,1,1,1.0
R1006P,R1006P_1,YC2,,2,0,1.0
R1008J,R1008J,YC1,,0,0,1.0
R1009W,R1009W,YC1,,0,0,1.0
R1010J,R1010J,FR1,,0,0,1.0
R1010J,R1010J,FR1,,1,1,1.0
R1010J,R1010J,YC1,,0,0,1.0
R1010J,R1010J,YC1,,1,1,1.0
R1013E,R1013E,YC1,,0,0,1.0
R1013E,R1013E_1,YC1,,1,0,1.0
R1013E,R1013E_1,YC2,,0,0,1.0
R1013E,R1013E_1,YC2,,1,1,1.0
R1013E,R1013E_1,catFR1,,0,0,1.0
R1014D,R1014D,YC1,,0,0,1.0
R1014D,R1014D,YC1,,1,1,1.0
R1015J,R1015J,FR1,,0,0,1.0
R1015J,R1015J,YC1,,0,0,1.0
R1015J,R1015J,YC1,,1,1,1.0
R1015J,R1015J,YC2,,0,0,1.0
