subject,experiment,session,original_name,truncated_name,original_length
R1074M,FR1,0,LFTHREE1-LFTHREE2,LFTHRE1-LFTHRE2,17
R1074M,FR1,0,LFTHREE2-LFTHREE3,LFTHRE2-LFTHRE3,17
R1074M,FR1,0,LFTHREE3-LFTHREE4,LFTHRE3-LFTHRE4,17
R1074M,FR1,0,LFTHREE4-LFTHREE5,LFTHRE4-LFTHRE5,17
R1074M,FR1,0,LFTHREE5-LFTHREE6,LFTHRE5-LFTHRE6,17
R1074M,FR1,0,LFTHREE6-LFTHREE7,LFTHRE6-LFTHRE7,17
R1074M,FR1,0,LFTHREE7-LFTHREE8,LFTHRE7-LFTHRE8,17
R1074M,FR1,0,LFTHREE8-LFTHREE9,LFTHRE8-LFTHRE9,17
R1074M,FR1,0,LFTHREE9-LFTHREE10,LFTHRE9-LFTHR10,18
R1074M,FR2,0,LFTHREE1-LFTHREE2,LFTHRE1-LFTHRE2,17
R1074M,FR2,0,LFTHREE2-LFTHREE3,LFTHRE2-LFTHRE3,17
R1074M,FR2,0,LFTHREE3-LFTHREE4,LFTHRE3-LFTHRE4,17
R1074M,FR2,0,LFTHREE4-LFTHREE5,LFTHRE4-LFTHRE5,17
R1074M,FR2,0,LFTHREE5-LFTHREE6,LFTHRE5-LFTHRE6,17
R1074M,FR2,0,LFTHREE6-LFTHREE7,LFTHRE6-LFTHRE7,17
R1074M,FR2,0,LFTHREE7-LFTHREE8,LFTHRE7-LFTHRE8,17
R1074M,FR2,0,LFTHREE8-LFTHREE9,LFTHRE8-LFTHRE9,17
R1074M,FR2,0,LFTHREE9-LFTHREE10,LFTHRE9-LFTHR10,18
R1074M,PAL1,0,LFTHREE1-LFTHREE2,LFTHRE1-LFTHRE2,17
R1074M,PAL1,0,LFTHREE2-LFTHREE3,LFTHRE2-LFTHRE3,17
R1074M,PAL1,0,LFTHREE3-LFTHREE4,LFTHRE3-LFTHRE4,17
R1074M,PAL1,0,LFTHREE4-LFTHREE5,LFTHRE4-LFTHRE5,17
R1074M,PAL1,0,LFTHREE5-LFTHREE6,LFTHRE5-LFTHRE6,17
R1074M,PAL1,0,LFTHREE6-LFTHREE7,LFTHRE6-LFTHRE7,17
R1074M,PAL1,0,LFTHREE7-LFTHREE8,LFTHRE7-LFTHRE8,17
R1074M,PAL1,0,LFTHREE8-LFTHREE9,LFTHRE8-LFTHRE9,17
R1074M,PAL1,0,LFTHREE9-LFTHREE10,LFTHRE9-LFTHR10,18
R1074M,PAL2,0,LFTHREE1-LFTHREE2,LFTHRE1-LFTHRE2,17
R1074M,PAL2,0,LFTHREE2-LFTHREE3,LFTHRE2-LFTHRE3,17
R1074M,PAL2,0,LFTHREE3-LFTHREE4,LFTHRE3-LFTHRE4,17
R1074M,PAL2,0,LFTHREE4-LFTHREE5,LFTHRE4-LFTHRE5,17
R1074M,PAL2,0,LFTHREE5-LFTHREE6,LFTHRE5-LFTHRE6,17
R1074M,PAL2,0,LFTHREE6-LFTHREE7,LFTHRE6-LFTHRE7,17
R1074M,PAL2,0,LFTHREE7-LFTHREE8,LFTHRE7-LFTHRE8,17
R1074M,PAL2,0,LFTHREE8-LFTHREE9,LFTHRE8-LFTHRE9,17
R1074M,PAL2,0,LFTHREE9-LFTHREE10,LFTHRE9-LFTHR10,18
R1074M,PS2,0,LFTHREE1-LFTHREE2,LFTHRE1-LFTHRE2,17
R1074M,PS2,0,LFTHREE2-LFTHREE3,LFTHRE2-LFTHRE3,17
R1074M,PS2,0,LFTHREE3-LFTHREE4,LFTHRE3-LFTHRE4,17
R1074M,PS2,0,LFTHREE4-LFTHREE5,LFTHRE4-LFTHRE5,17
R1074M,PS2,0,LFTHREE5-LFTHREE6,LFTHRE5-LFTHRE6,17
R1074M,PS2,0,LFTHREE6-LFTHREE7,LFTHRE6-LFTHRE7,17
R1074M,PS2,0,LFTHREE7-LFTHREE8,LFTHRE7-LFTHRE8,17
R1074M,PS2,0,LFTHREE8-LFTHREE9,LFTHRE8-LFTHRE9,17
R1074M,PS2,0,LFTHREE9-LFTHREE10,LFTHRE9-LFTHR10,18
R1074M,PS2,1,LFTHREE1-LFTHREE2,LFTHRE1-LFTHRE2,17
R1074M,PS2,1,LFTHREE2-LFTHREE3,LFTHRE2-LFTHRE3,17
R1074M,PS2,1,LFTHREE3-LFTHREE4,LFTHRE3-LFTHRE4,17
R1074M,PS2,1,LFTHREE4-LFTHREE5,LFTHRE4-LFTHRE5,17
R1074M,PS2,1,LFTHREE5-LFTHREE6,LFTHRE5-LFTHRE6,17
R1074M,PS2,1,LFTHREE6-LFTHREE7,LFTHRE6-LFTHRE7,17
R1074M,PS2,1,LFTHREE7-LFTHREE8,LFTHRE7-LFTHRE8,17
R1074M,PS2,1,LFTHREE8-LFTHREE9,LFTHRE8-LFTHRE9,17
R1074M,PS2,1,LFTHREE9-LFTHREE10,LFTHRE9-LFTHR10,18
R1074M,PS2,2,LFTHREE1-LFTHREE2,LFTHRE1-LFTHRE2,17
R1074M,PS2,2,LFTHREE2-LFTHREE3,LFTHRE2-LFTHRE3,17
R1074M,PS2,2,LFTHREE3-LFTHREE4,LFTHRE3-LFTHRE4,17
R1074M,PS2,2,LFTHREE4-LFTHREE5,LFTHRE4-LFTHRE5,17
R1074M,PS2,2,LFTHREE5-LFTHREE6,LFTHRE5-LFTHRE6,17
R1074M,PS2,2,LFTHREE6-LFTHREE7,LFTHRE6-LFTHRE7,17
R1074M,PS2,2,LFTHREE7-LFTHREE8,LFTHRE7-LFTHRE8,17
R1074M,PS2,2,LFTHREE8-LFTHREE9,LFTHRE8-LFTHRE9,17
R1074M,PS2,2,LFTHREE9-LFTHREE10,LFTHRE9-LFTHR10,18
R1074M,YC1,0,LFTHREE1-LFTHREE2,LFTHRE1-LFTHRE2,17
