subject,experiment,session,original_session,missing_task_laptop,missing_host_pc,task_error,host_error
FBG490,EFRCourierOpenLoop,0,0,True,False,ValueError: No HEARTBEAT / HEARTBEAT_OK events logged!,
FBG490,EFRCourierOpenLoop,1,1,True,False,ValueError: No HEARTBEAT / HEARTBEAT_OK events logged!,
FBG490,EFRCourierOpenLoop,2,2,True,False,ValueError: No HEARTBEAT / HEARTBEAT_OK events logged!,
FBG490,EFRCourierReadOnly,0,0,True,False,ValueError: No HEARTBEAT / HEARTBEAT_OK events logged!,
FBG491,EFRCourierOpenLoop,1,1,True,False,ValueError: No HEARTBEAT / HEARTBEAT_OK events logged!,
FBG491,EFRCourierOpenLoop,2,2,True,False,ValueError: No HEARTBEAT / HEARTBEAT_OK events logged!,
R1030J,ICatFR1,0,0,True,False,ValueError: Log not found: [],
R1030J,ICatFR6,0,0,True,False,ValueError: Log not found: [],
R1030J,IFR1,0,0,True,False,ValueError: Log not found: [],
R1030J,IFR1,1,1,True,False,ValueError: Log not found: [],
R1030J,IFR6,0,0,True,False,ValueError: Log not found: [],
R1204T,OPS,0,0,True,True,ValueError: Log not found: [],AssertionError: session numbers not unique (or not present): []
R1204T,OPS,1,1,True,True,ValueError: Log not found: [],AssertionError: session numbers not unique (or not present): []
R1556J,RepFR1,0,0,True,False,ValueError: cannot reindex on an axis with duplicate labels,
R1564J,OPS,0,0,True,True,ValueError: Log not found: [],AssertionError: session numbers not unique (or not present): []
R1564J,OPS,1,1,True,True,ValueError: Log not found: [],AssertionError: session numbers not unique (or not present): []
R1564J,OPS,2,2,True,True,ValueError: Log not found: [],AssertionError: session numbers not unique (or not present): []
R1564J,OPS,3,3,True,True,ValueError: Log not found: [],AssertionError: session numbers not unique (or not present): []
R1564J,OPS,4,4,True,True,ValueError: Log not found: [],AssertionError: session numbers not unique (or not present): []
R1564J,RepFR1,0,0,True,False,ValueError: cannot reindex on an axis with duplicate labels,
R1579T,OPS,0,0,True,True,ValueError: Log not found: [],AssertionError: session numbers not unique (or not present): []
R1579T,OPS,1,1,True,True,ValueError: Log not found: [],AssertionError: session numbers not unique (or not present): []
R1587J,OPS,0,0,True,True,ValueError: Log not found: [],AssertionError: session numbers not unique (or not present): []
R1589T,OPS,0,0,True,True,ValueError: Log not found: [],AssertionError: session numbers not unique (or not present): []
R1590T,OPS,0,0,True,True,ValueError: Log not found: [],AssertionError: session numbers not unique (or not present): []
R1590T,OPS,1,1,True,True,ValueError: Log not found: [],AssertionError: session numbers not unique (or not present): []
R1590T,OPS,2,2,True,True,ValueError: Log not found: [],AssertionError: session numbers not unique (or not present): []
R1602D,OPS,0,0,True,True,ValueError: Log not found: [],AssertionError: session numbers not unique (or not present): []
R1604J,OPS,0,0,True,True,ValueError: Log not found: [],AssertionError: session numbers not unique (or not present): []
R1611T,OPS,0,0,True,True,ValueError: Log not found: [],AssertionError: session numbers not unique (or not present): []
R1619T,OPS,0,0,True,True,ValueError: Log not found: [],AssertionError: session numbers not unique (or not present): []
R1619T,OPS,1,1,True,True,ValueError: Log not found: [],AssertionError: session numbers not unique (or not present): []
R1620J,EFRCourierOpenLoop,3,3,True,False,ValueError: No HEARTBEAT / HEARTBEAT_OK events logged!,
R1620J,EFRCourierOpenLoop,4,4,True,False,ValueError: No HEARTBEAT / HEARTBEAT_OK events logged!,
R1620J,EFRCourierReadOnly,0,0,True,False,ValueError: No HEARTBEAT / HEARTBEAT_OK events logged!,
R1620J,EFRCourierReadOnly,1,1,True,False,ValueError: No HEARTBEAT / HEARTBEAT_OK events logged!,
R1620J,EFRCourierReadOnly,2,2,True,False,ValueError: No HEARTBEAT / HEARTBEAT_OK events logged!,
R1620J,EFRCourierReadOnly,5,5,True,False,ValueError: No HEARTBEAT / HEARTBEAT_OK events logged!,
R1625T,OPS,0,0,True,True,ValueError: Log not found: [],AssertionError: session numbers not unique (or not present): []
R1625T,OPS,1,1,True,True,ValueError: Log not found: [],AssertionError: session numbers not unique (or not present): []
R1625T,OPS,2,2,True,True,ValueError: Log not found: [],AssertionError: session numbers not unique (or not present): []
R1625T,RepFR1,1,1,True,True,ValueError: Log not found: [],ValueError: Log not found: []
R1627T,catFR1,0,0,True,False,ValueError: No HEARTBEAT / HEARTBEAT_OK events logged!,
R1627T,catFR1,1,1,True,False,ValueError: No HEARTBEAT / HEARTBEAT_OK events logged!,
R1628E,OPS,0,0,True,True,ValueError: Log not found: [],AssertionError: session numbers not unique (or not present): []
R1633J,EFRCourierReadOnly,1,1,True,False,ValueError: No HEARTBEAT / HEARTBEAT_OK events logged!,
R1633J,RepFR1,2,2,True,False,ValueError: cannot reindex on an axis with duplicate labels,
R1635T,catFR1,1,1,True,False,ValueError: No HEARTBEAT / HEARTBEAT_OK events logged!,
R1635T,catFR1,2,2,True,False,ValueError: No HEARTBEAT / HEARTBEAT_OK events logged!,
R1635T,catFR1,4,4,True,False,ValueError: No HEARTBEAT / HEARTBEAT_OK events logged!,
R1637T,EFRCourierReadOnly,0,0,True,False,ValueError: No HEARTBEAT / HEARTBEAT_OK events logged!,
R1637T,EFRCourierReadOnly,1,1,True,False,ValueError: No HEARTBEAT / HEARTBEAT_OK events logged!,
R1637T,catFR1,0,0,True,False,ValueError: No HEARTBEAT / HEARTBEAT_OK events logged!,
R1640T,catFR1,0,0,True,False,ValueError: No HEARTBEAT / HEARTBEAT_OK events logged!,
R1640T,catFR1,1,1,True,False,ValueError: No HEARTBEAT / HEARTBEAT_OK events logged!,
R1640T,catFR1,2,2,True,False,ValueError: No HEARTBEAT / HEARTBEAT_OK events logged!,
R1642J,EFRCourierReadOnly,0,0,True,False,ValueError: No HEARTBEAT / HEARTBEAT_OK events logged!,
R1642J,EFRCourierReadOnly,2,2,True,False,ValueError: No HEARTBEAT / HEARTBEAT_OK events logged!,
R1642J,EFRCourierReadOnly,3,3,True,False,ValueError: No HEARTBEAT / HEARTBEAT_OK events logged!,
