subject,experiment,session,original_session,sess_time_ms
FBG490,EFRCourierOpenLoop,0,0,1669725187308.23
FBG490,EFRCourierOpenLoop,1,1,1669803813221.44
FBG490,EFRCourierOpenLoop,2,2,1669823589021.42
FBG490,EFRCourierReadOnly,0,0,1669713844230.52
FBG491,EFRCourierOpenLoop,1,1,1676023723635.99
FBG491,EFRCourierOpenLoop,2,2,1676295712814.9
R1030J,ICatFR1,0,0,1724859742000.0
R1030J,ICatFR6,0,0,1725021005000.0
R1030J,IFR1,0,0,1724851304000.0
R1030J,IFR1,1,1,1724927528000.0
R1030J,IFR6,0,0,1725019927000.0
R1602D,OPS,0,0,1648571565000.0
R1602D,RepFR2,0,0,1648664289338.51
R1602D,RepFR2,1,1,1648733089974.81
R1602D,RepFR2,2,2,1649080093099.25
R1602D,RepFR2,3,3,1649169948289.15
R1603T,RepFR1,0,0,1648238028286.94
R1604J,OPS,0,0,1648223093000.0
R1604J,RepFR1,0,0,1648177111287.04
R1607T,RepFR2,0,0,1650298971091.3
R1610D,RepFR1,0,0,1650030131812.16
R1610D,RepFR1,1,1,1650289220850.88
R1610D,RepFR1,2,2,1650375172008.91
R1610D,RepFR2,0,0,1650462066746.21
R1610D,RepFR2,1,1,1650564619616.57
R1611T,OPS,0,0,1650901635000.0
R1611T,RepFR1,0,0,1650569515290.59
R1611T,RepFR1,1,1,1650639063795.94
R1611T,RepFR2,0,0,1650921620595.83
R1612E,RepFR1,0,0,1650917934429.03
R1612E,RepFR2,0,0,1651004929137.02
R1612E,RepFR2,1,1,1651087114938.08
R1612E,RepFR2,2,2,1651260004165.08
R1612E,RepFR2,3,3,1651866324998.59
R1612E,RepFR2,4,4,1652125009791.71
R1613T,RepFR1,0,0,1651085707110.52
R1613T,RepFR1,1,1,1651161124656.65
R1615T,RepFR1,0,0,1651766964367.84
R1618J,RepFR1,0,0,1652420905971.81
R1618J,RepFR2,0,0,1652928413168.03
R1619T,OPS,0,0,1653411374000.0
R1619T,OPS,1,1,1653412931000.0
R1619T,RepFR1,0,0,1652981642209.97
R1619T,RepFR2,0,0,1653426484887.51
R1620J,EFRCourierOpenLoop,3,3,1654622464762.97
R1620J,EFRCourierOpenLoop,4,4,1654714442488.39
R1620J,EFRCourierReadOnly,0,0,1654286227448.2
R1620J,EFRCourierReadOnly,1,1,1654454562473.87
R1620J,EFRCourierReadOnly,2,2,1654542577240.68
R1620J,EFRCourierReadOnly,5,5,1654785922560.64
R1620J,RepFR1,0,0,1654236480782.45
R1621E,RepFR1,0,0,1655154013404.05
R1621E,RepFR1,1,1,1655216223268.43
R1622T,RepFR1,0,0,1655314911864.54
R1622T,RepFR1,1,1,1655402562761.07
R1624E,RepFR1,1,1,1656359279474.99
R1624E,RepFR1,2,2,1656361782448.92
R1624E,RepFR1,3,3,1656621906770.14
R1624E,RepFR1,4,4,1656624226557.68
R1624E,RepFR2,0,0,1656442848363.49
R1624E,RepFR2,1,1,1656530061341.83
R1624E,RepFR2,2,2,1656627118437.5
R1625T,OPS,0,0,1656437943000.0
R1625T,OPS,1,1,1656439679000.0
R1625T,OPS,2,2,1657207618000.0
R1625T,RepFR1,0,0,1656537668996.13
R1625T,RepFR1,3,3,1656608849396.69
R1625T,RepFR2,0,0,1656452665171.64
R1625T,RepFR2,1,1,1657222839603.65
R1627T,RepFR1,1,1,1659379208850.28
R1627T,RepFR2,1,1,1659989964223.87
R1627T,catFR1,0,0,1659559046000.0
R1628E,OPS,0,0,1659702686000.0
R1628E,RepFR1,0,0,1659387241999.79
R1628E,RepFR1,1,1,1659709567693.22
R1630E,RepFR1,0,0,1660942356098.62
R1630E,RepFR1,1,1,1661188863879.64
R1632E,RepFR1,0,0,1662149509709.28
R1632E,RepFR1,1,1,1662495628164.32
R1632E,RepFR1,2,2,1662756021036.59
R1633J,EFRCourierReadOnly,1,1,1663253063915.94
R1633J,RepFR1,0,0,1662921875989.52
R1633J,RepFR1,1,1,1662994792803.72
R1633J,RepFR1,2,2,1663093254096.0
R1635T,RepFR1,0,0,1664811971558.47
R1635T,catFR1,1,1,1664194749000.0
