subject,experiment,session,original_session,sess_time_ms
R1635T,catFR1,2,2,1664276130000.0
R1635T,catFR1,4,4,1664467856000.0
R1637T,EFRCourierReadOnly,0,0,1665770131034.13
R1637T,EFRCourierReadOnly,1,1,1666019418268.43
R1637T,catFR1,0,0,1665669855000.0
R1638E,RepFR1,0,0,1666040102847.9
R1638E,RepFR1,1,1,1666042541045.81
R1640T,catFR1,0,0,1667754604000.0
R1640T,catFR1,2,2,1668076850000.0
R1641E,RepFR2,0,0,1668549198106.5
R1641E,RepFR2,1,1,1668807407534.15
R1642J,catFR1,0,0,1669816125000.0
R1642J,catFR1,1,1,1669893691000.0
R1642J,catFR1,2,2,1669907678000.0
R1642J,catFR1,3,3,1669981140000.0
R1644T,OPS,0,0,1669826387000.0
R1644T,OPS,1,1,1669827592000.0
R1644T,OPS,2,2,1669828762000.0
R1644T,RepFR1,0,0,1669934088316.93
R1644T,RepFR1,1,1,1669997004443.27
R1644T,RepFR1,2,2,1670262920889.96
R1644T,RepFR2,0,0,1670445508934.22
R1646T,catFR1,0,0,1670934027000.0
R1646T,catFR1,1,1,1671112212000.0
R1646T,catFR1,2,2,1671190585000.0
R1646T,catFR1,3,3,1671453210000.0
R1650E,RepFR1,0,0,1671218932437.01
R1653J,EFRCourierOpenLoop,0,0,1698850095597.37
R1653J,EFRCourierOpenLoop,1,1,1698952606020.77
R1653J,EFRCourierOpenLoop,2,2,1699306317742.72
R1653J,OPS,0,0,1674057014000.0
R1653J,OPS,1,1,1674143383000.0
R1653J,OPS,2,2,1674224938000.0
R1653J,RepFR2,1,0,1698694135879.54
R1653J,RepFR2,2,1,1698866888447.54
R1653J,RepFR2,3,2,1698936354895.63
R1653J,RepFR2,4,3,1699017659452.25
R1653J,RepFR2,5,4,1699284292640.17
R1653J,RepFR2,6,5,1699374739172.03
R1660T,OPS,0,0,1676476096000.0
R1660T,RepFR2,0,0,1676495185265.64
R1661E,RepFR2,0,0,1675973135321.48
R1663E,EFRCourierReadOnly,0,0,1677773954708.55
R1663E,OPS,0,0,1677678191000.0
R1663E,OPS,1,1,1677679201000.0
R1663E,OPS,2,2,1678279897000.0
R1665J,catFR1,0,0,1677843779000.0
R1665J,catFR1,1,1,1677929839000.0
R1665J,catFR1,2,2,1678189199000.0
R1670J,RepFR1,0,0,1680376230071.65
R1670J,RepFR1,1,1,1680455294851.93
R1670J,catFR1,0,0,1679656629000.0
R1670J,catFR1,1,1,1679666190000.0
R1670J,catFR1,2,2,1679919127000.0
R1670J,catFR1,3,3,1679925833000.0
R1672T,catFR1,0,0,1680260868000.0
R1672T,catFR1,1,1,1680262593000.0
R1672T,catFR1,2,2,1680517130000.0
R1672T,catFR1,3,3,1680627511000.0
R1672T,catFR1,4,4,1680693422000.0
R1676J,catFR1,0,0,1683381486000.0
R1676J,catFR1,1,1,1683454680000.0
R1676J,catFR1,2,2,1683723151000.0
R1678T,catFR1,0,0,1683811419000.0
R1678T,catFR1,1,1,1684146746000.0
R1678T,catFR1,2,2,1684238395000.0
R1679J,OPS,0,0,1684752798000.0
R1679J,RepFR1,0,0,1684087871141.41
R1679J,RepFR1,1,1,1684168140608.13
R1679J,RepFR1,2,2,1684619880613.45
R1679J,RepFR1,3,3,1684693487420.07
R1679J,RepFR2,0,0,1684514538063.46
R1679J,RepFR2,1,0,1698505898580.29
R1679J,RepFR2,2,1,1698678144182.14
R1679J,catFR1,0,0,1683804460000.0
R1680T,catFR1,0,0,1684491757000.0
R1680T,catFR1,1,1,1684493513000.0
R1680T,catFR1,2,2,1684751606000.0
R1680T,catFR1,3,3,1684753139000.0
R1681J,OPS,0,0,1687259943000.0
R1681J,OPS,1,1,1687263276000.0
R1681J,RepFR1,0,0,1686426094171.2
R1681J,RepFR1,1,1,1686500222909.84
R1681J,RepFR1,2,2,1686860964694.12
R1681J,RepFR1,3,3,1686944768440.18
R1681J,RepFR1,4,4,1687202107372.21
R1681J,RepFR2,0,0,1686757142337.0
R1681J,RepFR2,1,1,1686855145241.78
R1681J,RepFR2,2,2,1687022199171.27
R1681J,RepFR2,3,3,1687115892360.99
R1681J,catFR1,0,0,1686241130000.0
R1681J,catFR1,1,1,1686310684000.0
R1684E,RepFR2,0,0,1683648802639.93
R1684E,RepFR2,1,1,1687799528400.11
R1687J,catFR1,0,0,1687447724000.0
R1688T,OPS,0,0,1688051502000.0
R1688T,OPS,1,1,1688052369000.0
R1688T,OPS,2,2,1688053180000.0
R1688T,OPS,3,3,1688376361000.0
R1688T,OPS,4,4,1688377517000.0
R1688T,OPS,5,5,1688378320000.0
R1688T,OPS,6,6,1688379232000.0
R1688T,OPS,7,7,1688380733000.0
R1689J,ICatFR1,0,0,1688999975000.0
R1689J,catFR1,0,0,1688908584000.0
R1690E,RepFR1,0,0,1689700357049.19
R1690E,RepFR1,1,1,1689869150735.46
R1690E,RepFR2,0,0,1691085619869.74
R1691J,IFR1,0,0,1689341752000.0
R1692T,RepFR1,0,0,1689802004411.22
R1692T,RepFR2,0,0,1690311666680.56
R1693J,EFRCourierOpenLoop,0,0,1692117561733.78
R1693J,EFRCourierOpenLoop,1,1,1692372390306.37
R1693J,OPS,0,0,1691770573000.0
R1693J,OPS,1,1,1691924651000.0
R1693J,RepFR2,0,0,1691772066899.92
R1693J,RepFR2,1,1,1691853996361.72
R1693J,RepFR2,2,2,1692301820571.13
R1693J,RepFR2,3,3,1692548103016.5
R1694E,RepFR2,0,0,1692818009928.02
R1697E,OPS,0,0,1694793761000.0
R1697E,RepFR2,1,1,1694454642058.79
R1697E,RepFR2,2,2,1694542649275.36
R1697E,RepFR2,3,3,1695064608514.52
R1697E,RepFR2,4,4,1695235465060.71
R1697E,RepFR2,5,5,1695323443756.48
R1698H,RepFR2,0,0,1694705158816.94
R1698H,RepFR2,1,1,1694791547248.03
R1698H,RepFR2,2,2,1695048414717.79
R1700E,RepFR2,0,0,1695153104367.84
R1702J,RepFR2,0,0,1693846964577.61
R1702J,RepFR2,1,1,1694028330976.16
R1702J,RepFR2,2,2,1694115833048.12
R1702J,RepFR2,3,0,1694785640006.78
R1703E,RepFR2,0,0,1696267053036.58
R1703E,RepFR2,1,1,1696616189646.96
R1704E,OPS,0,0,1696945904000.0
R1704E,OPS,1,1,1696947003000.0
R1704E,RepFR2,0,0,1696878284035.14
R1704E,RepFR2,1,1,1697039387455.59
R1704E,RepFR2,2,2,1697122081810.61
R1704E,RepFR2,3,3,1697472401530.26
R1709J,EFRCourierOpenLoop,0,0,1699387736938.11
R1709J,EFRCourierOpenLoop,1,1,1699653898508.1
R1709J,ICatFR1,0,0,1699281563000.0
R1709J,RepFR2,0,0,1699555211880.84
R1710J,CPS,0,0,1700671702000.0
R1710J,CPS,1,1,1700673129000.0
R1710J,ICatFR1,0,0,1700311475000.0
R1710J,ICatFR1,1,1,1700396694000.0
R1710J,IFR1,0,0,1700316488000.0
R1710J,OPS,0,0,1700563375000.0
R1710J,OPS,1,1,1700666109000.0
R1710J,RepFR2,0,0,1700408566109.45
R1710J,RepFR2,1,1,1700508094959.87
R1710J,RepFR2,2,2,1700596561673.47
R1721J,CPS,0,0,1703692122000.0
R1721J,CPS,1,1,1703694158000.0
R1721J,CPS,10,10,1704366191000.0
R1721J,CPS,11,11,1704367892000.0
R1721J,CPS,2,2,1703696133000.0
R1721J,CPS,3,3,1703846989000.0
R1721J,CPS,4,4,1703848816000.0
R1721J,CPS,5,5,1703850899000.0
R1721J,CPS,6,6,1703852568000.0
R1721J,CPS,7,7,1703928783000.0
R1721J,CPS,8,8,1703931041000.0
R1721J,CPS,9,9,1704360383000.0
R1721J,ICatFR1,0,0,1703160508000.0
R1721J,ICatFR1,1,1,1703262547000.0
R1721J,ICatFR1,2,2,1703607172000.0
R1721J,IFR1,0,0,1703171403000.0
R1721J,IFR1,1,1,1703326706000.0
R1721J,OPS,0,0,1703323387000.0
R1721J,OPS,1,1,1703698931000.0
R1721J,RepFR2,0,0,1703338429225.3
R1721J,RepFR2,1,1,1703456618825.34
R1721J,RepFR2,2,2,1703610701243.21
R1721J,RepFR2,3,3,1703628236288.46
R1723J,ICatFR1,0,0,1705508830000.0
R1724J,CPS,0,0,1706541882000.0
R1724J,CPS,1,1,1706544377000.0
R1724J,CPS,11,11,1706724170000.0
R1724J,CPS,12,12,1706726433000.0
R1724J,CPS,2,2,1706546205000.0
R1724J,CPS,3,3,1706548293000.0
R1724J,CPS,4,4,1706613821000.0
R1724J,CPS,5,5,1706615558000.0
R1724J,CPS,6,6,1706708624000.0
R1724J,CPS,7,7,1706710468000.0
R1724J,CPS,8,8,1706713034000.0
R1724J,CPS,9,9,1706717920000.0
R1724J,EFRCourierOpenLoop,0,0,1706478567955.24
R1724J,ICatFR1,0,0,1706286370000.0
R1724J,ICatFR1,1,1,1706350383000.0
R1724J,IFR1,0,0,1706289521000.0
R1724J,IFR1,1,1,1706354269000.0
R1724J,OPS,0,0,1706464933000.0
R1724J,OPS,1,1,1706468507000.0
R1724J,RepFR2,0,0,1706459006021.6
R1724J,RepFR2,1,1,1706544885283.64
R1725J,ICatFR1,0,0,1706534072000.0
R1725J,ICatFR1,1,1,1706640897000.0
R1725J,IFR1,0,0,1706556607000.0
R1728J,ICatFR1,0,0,1709637429000.0
R1728J,OPS,0,0,1709215825000.0
R1728J,OPS,1,1,1709296908000.0
R1728J,OPS,2,2,1709376551000.0
R1728J,OPS,3,3,1709387528000.0
R1728J,OPS,4,4,1709459566000.0
R1728J,OPS,5,5,1709462053000.0
R1728J,OPS,6,6,1709464782000.0
R1728J,OPS,7,7,1709466784000.0
R1729J,ICatFR1,0,0,1709732815000.0
R1729J,ICatFR1,1,1,1709914063000.0
R1729J,IFR1,0,0,1709809229000.0
R1729J,IFR1,1,1,1710172620000.0
R1729J,OPS,1,1,1710161436000.0
R1731J,IFR1,0,0,1711027863000.0
R1735H,ICatFR1,0,0,1713530302000.0
R1735H,IFR1,0,0,1713450109000.0
R1737T,ICatFR1,0,0,1716139920000.0
R1738H,ICatFR1,1,1,1715959222000.0
R1738H,IFR1,0,0,1716122091000.0
R1740H,ICatFR1,0,0,1717253318000.0
R1740H,ICatFR6,0,0,1717419532000.0
R1740H,ICatFR6,1,1,1717683206000.0
R1740H,IFR1,0,0,1717159638000.0
R1740H,IFR1,1,1,1717336866000.0
R1740H,IFR6,1,1,1717512114000.0
R1740H,IFR6,2,2,1717770096000.0
R1740H,IFR6,3,3,1718099867000.0
R1742J,ICatFR1,0,0,1717963085000.0
R1742J,ICatFR6,0,0,1718212444000.0
R1742J,IFR1,0,0,1718032972000.0
R1742J,IFR1,1,1,1718114509000.0
R1742J,IFR6,0,0,1718208453000.0
R1742J,IFR6,1,1,1718292690000.0
R1743H,ICatFR1,0,0,1718634963000.0
R1743H,IFR1,0,0,1718369291000.0
R1743H,IFR1,1,1,1718714941000.0
R1745H,ICatFR1,0,0,1719753327000.0
R1745H,IFR1,0,0,1719578993000.0
R1745H,IFR1,1,1,1719837051000.0
R1745H,IFR6,0,0,1719924381000.0
R1750J,ICatFR1,0,0,1722346991000.0
R1751J,ICatFR1,0,0,1722440274000.0
R1751J,ICatFR1,1,1,1722515665000.0
R1751J,IFR1,0,0,1722453936000.0
R1751J,IFR1,1,1,1722610275000.0
R1753J,IFR1,0,0,1725294952000.0
R1754H,ICatFR1,0,0,1728916122000.0
R1754H,ICatFR6,1,1,1729162830000.0
R1754H,IFR1,0,0,1728654538000.0
R1754H,IFR1,1,1,1728992114000.0
R1754H,IFR6,0,0,1729077894000.0
R1754H,IFR6,2,2,1729247473000.0
