subject,experiment,session
LTP063,ltpFR,0
LTP063,ltpFR,1
LTP063,ltpFR,10
LTP063,ltpFR,11
LTP063,ltpFR,12
LTP063,ltpFR,13
LTP063,ltpFR,14
LTP063,ltpFR,15
LTP063,ltpFR,16
LTP063,ltpFR,17
LTP063,ltpFR,18
LTP063,ltpFR,19
LTP063,ltpFR,2
LTP063,ltpFR,3
LTP063,ltpFR,4
LTP063,ltpFR,5
LTP063,ltpFR,6
LTP063,ltpFR,7
LTP063,ltpFR,8
LTP063,ltpFR,9
LTP064,ltpFR,0
LTP064,ltpFR,1
LTP064,ltpFR,10
LTP064,ltpFR,11
LTP064,ltpFR,12
LTP064,ltpFR,13
LTP064,ltpFR,14
LTP064,ltpFR,15
LTP064,ltpFR,16
LTP064,ltpFR,17
LTP064,ltpFR,18
LTP064,ltpFR,19
LTP064,ltpFR,2
LTP064,ltpFR,3
LTP064,ltpFR,4
LTP064,ltpFR,5
LTP064,ltpFR,6
LTP064,ltpFR,7
LTP064,ltpFR,8
LTP064,ltpFR,9
LTP065,ltpFR,0
LTP065,ltpFR,1
LTP065,ltpFR,10
LTP065,ltpFR,11
LTP065,ltpFR,12
LTP065,ltpFR,13
LTP065,ltpFR,14
LTP065,ltpFR,15
LTP065,ltpFR,16
LTP065,ltpFR,17
LTP065,ltpFR,18
LTP065,ltpFR,19
LTP065,ltpFR,2
LTP065,ltpFR,3
LTP065,ltpFR,4
LTP065,ltpFR,5
LTP065,ltpFR,6
LTP065,ltpFR,7
LTP065,ltpFR,8
LTP065,ltpFR,9
LTP066,ltpFR,0
LTP066,ltpFR,1
LTP066,ltpFR,10
LTP066,ltpFR,11
LTP066,ltpFR,12
LTP066,ltpFR,13
LTP066,ltpFR,14
LTP066,ltpFR,15
LTP066,ltpFR,16
LTP066,ltpFR,17
LTP066,ltpFR,18
LTP066,ltpFR,19
LTP066,ltpFR,2
LTP066,ltpFR,3
LTP066,ltpFR,4
LTP066,ltpFR,5
LTP066,ltpFR,6
LTP066,ltpFR,7
LTP066,ltpFR,8
LTP066,ltpFR,9
LTP067,ltpFR,0
LTP067,ltpFR,1
LTP067,ltpFR,10
LTP067,ltpFR,11
LTP067,ltpFR,12
LTP067,ltpFR,13
LTP067,ltpFR,14
LTP067,ltpFR,15
LTP067,ltpFR,16
LTP067,ltpFR,17
LTP067,ltpFR,18
LTP067,ltpFR,19
LTP067,ltpFR,2
LTP067,ltpFR,3
LTP067,ltpFR,4
LTP067,ltpFR,5
LTP067,ltpFR,6
LTP067,ltpFR,7
LTP067,ltpFR,8
LTP067,ltpFR,9
LTP068,ltpFR,0
LTP068,ltpFR,1
LTP068,ltpFR,2
LTP068,ltpFR,3
LTP068,ltpFR,4
LTP069,ltpFR,0
LTP069,ltpFR,1
LTP069,ltpFR,10
LTP069,ltpFR,11
LTP069,ltpFR,12
LTP069,ltpFR,13
LTP069,ltpFR,14
LTP069,ltpFR,15
LTP069,ltpFR,16
LTP069,ltpFR,17
LTP069,ltpFR,18
LTP069,ltpFR,19
LTP069,ltpFR,2
LTP069,ltpFR,3
LTP069,ltpFR,4
LTP069,ltpFR,5
LTP069,ltpFR,6
LTP069,ltpFR,7
LTP069,ltpFR,8
LTP069,ltpFR,9
LTP070,ltpFR,0
LTP070,ltpFR,1
LTP070,ltpFR,10
LTP070,ltpFR,11
LTP070,ltpFR,12
LTP070,ltpFR,13
LTP070,ltpFR,14
LTP070,ltpFR,15
LTP070,ltpFR,16
LTP070,ltpFR,17
LTP070,ltpFR,18
LTP070,ltpFR,19
LTP070,ltpFR,2
LTP070,ltpFR,3
LTP070,ltpFR,4
LTP070,ltpFR,5
LTP070,ltpFR,6
LTP070,ltpFR,7
LTP070,ltpFR,8
LTP070,ltpFR,9
LTP073,ltpFR,0
LTP073,ltpFR,1
LTP073,ltpFR,10
LTP073,ltpFR,11
LTP073,ltpFR,12
LTP073,ltpFR,13
LTP073,ltpFR,14
LTP073,ltpFR,15
LTP073,ltpFR,16
LTP073,ltpFR,17
LTP073,ltpFR,18
LTP073,ltpFR,19
LTP073,ltpFR,2
LTP073,ltpFR,3
LTP073,ltpFR,4
LTP073,ltpFR,5
LTP073,ltpFR,6
LTP073,ltpFR,7
LTP073,ltpFR,8
LTP073,ltpFR,9
LTP074,ltpFR,0
LTP074,ltpFR,1
LTP074,ltpFR,10
LTP074,ltpFR,11
LTP074,ltpFR,12
LTP074,ltpFR,13
LTP074,ltpFR,14
LTP074,ltpFR,15
LTP074,ltpFR,16
LTP074,ltpFR,17
LTP074,ltpFR,18
LTP074,ltpFR,19
LTP074,ltpFR,2
LTP074,ltpFR,3
LTP074,ltpFR,4
LTP074,ltpFR,5
LTP074,ltpFR,6
LTP074,ltpFR,7
LTP074,ltpFR,8
LTP074,ltpFR,9
LTP075,ltpFR,0
LTP075,ltpFR,1
LTP075,ltpFR,2
LTP075,ltpFR,3
LTP075,ltpFR,4
LTP075,ltpFR,5
LTP075,ltpFR,6
LTP075,ltpFR,7
LTP075,ltpFR,8
LTP076,ltpFR,0
LTP076,ltpFR,1
LTP076,ltpFR,10
LTP076,ltpFR,11
LTP076,ltpFR,12
LTP076,ltpFR,13
LTP076,ltpFR,14
LTP076,ltpFR,15
LTP076,ltpFR,16
LTP076,ltpFR,17
LTP076,ltpFR,18
LTP076,ltpFR,19
LTP076,ltpFR,2
LTP076,ltpFR,3
LTP076,ltpFR,4
LTP076,ltpFR,5
LTP076,ltpFR,6
LTP076,ltpFR,7
LTP076,ltpFR,8
LTP076,ltpFR,9
LTP077,ltpFR,0
LTP077,ltpFR,1
LTP077,ltpFR,10
LTP077,ltpFR,11
LTP077,ltpFR,12
LTP077,ltpFR,13
LTP077,ltpFR,14
LTP077,ltpFR,15
LTP077,ltpFR,16
LTP077,ltpFR,17
LTP077,ltpFR,18
LTP077,ltpFR,19
LTP077,ltpFR,2
LTP077,ltpFR,3
LTP077,ltpFR,4
LTP077,ltpFR,5
LTP077,ltpFR,6
LTP077,ltpFR,7
LTP077,ltpFR,8
LTP077,ltpFR,9
LTP078,ltpFR,0
LTP079,ltpFR,0
LTP079,ltpFR,1
LTP079,ltpFR,10
LTP079,ltpFR,11
LTP079,ltpFR,12
LTP079,ltpFR,13
LTP079,ltpFR,14
LTP079,ltpFR,15
LTP079,ltpFR,16
LTP079,ltpFR,17
LTP079,ltpFR,18
LTP079,ltpFR,19
LTP079,ltpFR,2
